         9419009 function calls (9401623 primitive calls) in 4.188 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      315    0.001    0.000    0.002    0.000 PngImagePlugin.py:501(chunk_cHRM)
     1799    0.002    0.000    0.002    0.000 texture.py:233(create_image_cache_name)
     2650    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:128(<listcomp>)
        8    0.000    0.000    0.002    0.000 base.py:1(<module>)
      507    0.001    0.000    0.002    0.000 texture_atlas.py:95(__init__)
     1799    0.001    0.000    0.002    0.000 base.py:635(center_y)
       38    0.000    0.000    0.002    0.000 _make.py:443(_collect_base_attrs_broken)
     1799    0.001    0.000    0.002    0.000 texture.py:676(__ne__)
      508    0.001    0.000    0.002    0.000 atlas.py:86(alloc)
       16    0.000    0.000    0.002    0.000 typing.py:2812(__new__)
     3643    0.001    0.000    0.002    0.000 {built-in method builtins.max}
      514    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
      683    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
     7506    0.001    0.000    0.002    0.000 _make.py:2562(<genexpr>)
     1799    0.000    0.000    0.002    0.000 sprite_list.py:1200(_grow_sprite_buffers)
     2724    0.001    0.000    0.002    0.000 copyreg.py:104(__newobj__)
     1799    0.001    0.000    0.002    0.000 texture.py:101(get)
      126    0.000    0.000    0.002    0.000 typing.py:1537(copy_with)
       29    0.000    0.000    0.002    0.000 glsl.py:29(__init__)
      561    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
     2951    0.002    0.000    0.002    0.000 {built-in method _ctypes.POINTER}
     1021    0.001    0.000    0.002    0.000 _weakrefset.py:85(add)
        1    0.000    0.000    0.002    0.002 controller.py:138(add_mappings_from_file)
    16479    0.001    0.000    0.001    0.000 texture.py:180(cache_name)
        1    0.000    0.000    0.001    0.001 __init__.py:588(_create_projection)
     7063    0.001    0.000    0.001    0.000 __init__.py:1734(isEnabledFor)
    19811    0.001    0.000    0.001    0.000 {built-in method _stat.S_ISLNK}
       12    0.000    0.000    0.001    0.000 tileset.py:231(parse)
        1    0.000    0.000    0.001    0.001 libswresample.py:1(<module>)
       11    0.001    0.000    0.001    0.000 program.py:518(link)
        1    0.000    0.000    0.001    0.001 subprocess.py:1(<module>)
     4139    0.001    0.000    0.001    0.000 {method 'tell' of '_io.BufferedReader' objects}
        1    0.000    0.000    0.001    0.001 buffered_logger.py:1(<module>)
      352    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1599(_get_spec)
     2086    0.001    0.000    0.001    0.000 __init__.py:1479(info)
     3242    0.001    0.000    0.001    0.000 Image.py:3153(_decompression_bomb_check)
     8638    0.001    0.000    0.001    0.000 {built-in method builtins.setattr}
       38    0.000    0.000    0.001    0.000 _make.py:529(<listcomp>)
       19    0.000    0.000    0.001    0.000 glsl.py:146(_parse_out_attributes)
     1799    0.001    0.000    0.001    0.000 image_data.py:49(get)
      770    0.000    0.000    0.001    0.000 __init__.py:163(match)
     6561    0.001    0.000    0.001    0.000 {method 'join' of 'str' objects}
      283    0.000    0.000    0.001    0.000 typing.py:1235(__init__)
      525    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:179(_get_module_lock)
       96    0.001    0.000    0.001    0.000 types.py:226(__init__)
        1    0.000    0.000    0.001    0.001 dds.py:1(<module>)
       16    0.000    0.000    0.001    0.000 typing.py:2792(_make_nmtuple)
      159    0.000    0.000    0.001    0.000 _make.py:2508(from_counting_attr)
